 State-gov, HS-grad, White, Female, United-States, <=50K
 Local-gov, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, White, Male, United-States, <=50K
 Federal-gov, Some-college, White, Male, United-States, <=50K
 Private, HS-grad, Black, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, Some-college, White, Female, United-States, >50K
 Local-gov, HS-grad, White, Male, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, Asian-Pac-Islander, Female, United-States, <=50K
 Federal-gov, Bachelors, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 State-gov, Some-college, White, Male, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Federal-gov, HS-grad, White, Female, United-States, <=50K
 Private, Bachelors, White, Male, United-States, >50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, Assoc-acdm, White, Female, United-States, <=50K
 Private, HS-grad, Other, Female, United-States, <=50K
 State-gov, Some-college, White, Male, United-States, <=50K
 State-gov, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, White, Female, United-States, <=50K
 Federal-gov, Some-college, White, Male, United-States, <=50K
 Private, 11th, White, Female, United-States, <=50K
 State-gov, Assoc-voc, White, Male, United-States, <=50K
 Private, 10th, Black, Male, United-States, <=50K
 Federal-gov, Assoc-voc, Black, Female, United-States, <=50K
 Local-gov, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 State-gov, Assoc-acdm, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, Assoc-acdm, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 State-gov, HS-grad, Black, Female, United-States, <=50K
 Local-gov, HS-grad, White, Female, Cuba, <=50K
 Private, Some-college, Black, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 State-gov, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Black, Female, United-States, <=50K
 Private, Some-college, White, Male, United-States, >50K
 State-gov, Some-college, White, Male, United-States, <=50K
