 State-gov, White, Female, United-States, <=50K
 Local-gov, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, Black, Female, United-States, <=50K
 Private, White, Male, United-States, <=50K
 Local-gov, White, Male, United-States, <=50K
 Private, Asian-Pac-Islander, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Federal-gov, White, Female, United-States, <=50K
 Private, White, Male, United-States, <=50K
 Private, Other, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Male, United-States, <=50K
 Private, White, Male, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 State-gov, Black, Female, United-States, <=50K
 Local-gov, White, Female, Cuba, <=50K
 Private, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 State-gov, White, Female, United-States, <=50K
 Private, White, Female, United-States, <=50K
 Federal-gov, Black, Female, United-States, <=50K
