 Self-emp-not-inc, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Local-gov, 10th, Black, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, 11th, White, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, 7th-8th, White, Male, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 Private, Bachelors, Black, Male, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
