 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
 Private, 11th, Married-civ-spouse, Handlers-cleaners, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Black, Male, United-States, >50K
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male, India, >50K
 Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?, >50K
 Private, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male, Mexico, <=50K
 Private, 11th, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
 Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Black, Male, United-States, <=50K
 Private, 11th, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
 ?, Some-college, Married-civ-spouse, ?, Asian-Pac-Islander, Male, South, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 State-gov, Some-college, Married-civ-spouse, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, White, Male, ?, >50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, Assoc-voc, Married-civ-spouse, Other-service, White, Male, Puerto-Rico, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
 Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White, Male, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
 ?, 10th, Married-civ-spouse, ?, White, Male, United-States, <=50K
 Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Other-service, White, Male, Cuba, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
 Private, Masters, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
 Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Sales, White, Male, United-States, >50K
 Private, Masters, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
