 Federal-gov, Some-college, Adm-clerical, White, Male, United-States, <=50K
 ?, Assoc-acdm, ?, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Bachelors, Exec-managerial, White, Female, United-States, <=50K
 ?, 11th, ?, Black, Female, United-States, <=50K
 Private, 11th, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Craft-repair, White, Male, United-States, <=50K
 State-gov, HS-grad, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Sales, White, Male, United-States, >50K
 Private, 5th-6th, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Sales, White, Female, United-States, >50K
 Self-emp-not-inc, Bachelors, Exec-managerial, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Sales, Asian-Pac-Islander, Male, South, <=50K
 Private, HS-grad, Transport-moving, White, Male, Mexico, <=50K
 Private, HS-grad, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Transport-moving, Other, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Assoc-voc, ?, White, Female, United-States, <=50K
 ?, Assoc-voc, ?, White, Female, United-States, >50K
 Private, Bachelors, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Protective-serv, White, Male, United-States, <=50K
 Private, 10th, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Other-service, White, Female, United-States, >50K
 Private, Some-college, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Prof-specialty, White, Male, Mexico, >50K
 Local-gov, Bachelors, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Handlers-cleaners, White, Male, United-States, >50K
 Self-emp-not-inc, 11th, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Craft-repair, Asian-Pac-Islander, Male, United-States, <=50K
 State-gov, HS-grad, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Prof-specialty, White, Female, ?, <=50K
 Private, Bachelors, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, 11th, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Craft-repair, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Bachelors, Craft-repair, White, Male, United-States, >50K
 Private, 10th, Craft-repair, Other, Male, United-States, >50K
 Private, Some-college, Sales, White, Female, United-States, <=50K
 Private, 10th, Sales, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Sales, White, Male, United-States, <=50K
 ?, HS-grad, ?, White, Female, United-States, <=50K
 Private, 11th, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Craft-repair, White, Female, United-States, <=50K
 Private, 12th, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Craft-repair, White, Male, United-States, <=50K
 Private, 1st-4th, Other-service, Asian-Pac-Islander, Female, Vietnam, <=50K
 Private, HS-grad, Other-service, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Sales, White, Female, United-States, >50K
 Private, HS-grad, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 ?, 7th-8th, ?, White, Male, United-States, <=50K
 Private, Some-college, Exec-managerial, White, Male, United-States, <=50K
 Private, 9th, Sales, White, Male, United-States, >50K
 Private, HS-grad, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-inc, Bachelors, Sales, Asian-Pac-Islander, Female, Philippines, >50K
 Private, 12th, Farming-fishing, White, Male, United-States, <=50K
 Private, 7th-8th, Handlers-cleaners, White, Male, Mexico, <=50K
 ?, Some-college, ?, White, Female, United-States, <=50K
 Private, Assoc-acdm, Adm-clerical, White, Female, ?, <=50K
 Without-pay, Some-college, Farming-fishing, White, Male, United-States, <=50K
 Private, Assoc-acdm, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Exec-managerial, White, Female, Japan, <=50K
 Private, Some-college, Adm-clerical, Black, Female, United-States, >50K
 Private, HS-grad, Other-service, Black, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Sales, White, Male, United-States, >50K
 Private, HS-grad, Adm-clerical, White, Male, United-States, <=50K
 Private, 10th, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Transport-moving, White, Female, United-States, <=50K
 Private, HS-grad, Other-service, White, Female, United-States, <=50K
 Private, 11th, Farming-fishing, White, Male, Mexico, <=50K
 Private, 10th, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Sales, White, Male, United-States, <=50K
 Private, 10th, Machine-op-inspct, Asian-Pac-Islander, Female, Vietnam, <=50K
 Private, Some-college, Exec-managerial, White, Male, United-States, >50K
 ?, HS-grad, ?, White, Female, United-States, <=50K
 Private, Assoc-voc, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, Bachelors, Tech-support, White, Female, ?, >50K
 Private, HS-grad, Sales, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Other-service, Asian-Pac-Islander, Male, Philippines, <=50K
 ?, HS-grad, ?, White, Female, United-States, <=50K
 Private, HS-grad, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-voc, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
