 State-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 9th, Married-spouse-absent, Other-service, Black, Female, Jamaica, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, Assoc-acdm, Never-married, Sales, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, Assoc-acdm, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 ?, 7th-8th, Married-spouse-absent, ?, White, Male, ?, <=50K
 Private, Some-college, Divorced, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, >50K
 Private, 9th, Never-married, Sales, White, Male, United-States, <=50K
 Federal-gov, Doctorate, Never-married, Prof-specialty, White, Female, United-States, >50K
 Local-gov, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Tech-support, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, White, Female, United-States, >50K
 ?, Some-college, Divorced, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 ?, 1st-4th, Divorced, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander, Female, England, <=50K
 Federal-gov, Assoc-acdm, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, Assoc-voc, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 ?, Bachelors, Divorced, ?, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Federal-gov, Masters, Never-married, Exec-managerial, White, Female, United-States, >50K
 Self-emp-not-inc, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Black, Male, United-States, >50K
 Private, Assoc-acdm, Divorced, Sales, White, Female, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, 1st-4th, Divorced, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Local-gov, Preschool, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 ?, 10th, Divorced, ?, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, Assoc-voc, Widowed, Adm-clerical, White, Female, Columbia, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Separated, Transport-moving, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Prof-school, Never-married, Prof-specialty, White, Male, United-States, >50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Widowed, Exec-managerial, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, Germany, <=50K
