 Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, Bachelors, Separated, Other-service, Black, Male, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Transport-moving, White, Male, Mexico, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
 Private, Some-college, Divorced, Craft-repair, Other, Female, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female, Mexico, <=50K
 Private, 5th-6th, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, White, Male, Mexico, <=50K
 ?, 12th, Never-married, ?, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 State-gov, Some-college, Married-spouse-absent, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 ?, Masters, Married-spouse-absent, ?, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male, Philippines, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, Cuba, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Exec-managerial, White, Male, Iran, >50K
 Private, HS-grad, Never-married, Handlers-cleaners, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Separated, Other-service, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Male, United-States, <=50K
 Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, China, <=50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
 Local-gov, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, Jamaica, <=50K
 Private, Some-college, Divorced, Other-service, White, Male, Nicaragua, <=50K
 ?, Some-college, Never-married, ?, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Craft-repair, Black, Female, Dominican-Republic, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Female, Puerto-Rico, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 9th, Married-civ-spouse, Handlers-cleaners, White, Male, Mexico, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Protective-serv, Black, Female, Haiti, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Tech-support, White, Female, Canada, >50K
 Private, 11th, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, 11th, Never-married, Sales, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Asian-Pac-Islander, Female, Hong, <=50K
