 Private, Assoc-acdm, White, Female, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 Private, HS-grad, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, White, Female, United-States, <=50K
 Private, 9th, White, Female, United-States, <=50K
 Private, Assoc-acdm, White, Female, United-States, <=50K
 Private, 9th, White, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, Some-college, White, Male, United-States, <=50K
 State-gov, Some-college, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Local-gov, HS-grad, Black, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, Black, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, Assoc-voc, White, Female, United-States, <=50K
 Private, 11th, White, Male, United-States, <=50K
 Private, HS-grad, Asian-Pac-Islander, Female, South, <=50K
 State-gov, HS-grad, Black, Male, United-States, <=50K
 Private, HS-grad, White, Male, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, Some-college, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, Japan, <=50K
 Private, 10th, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, HS-grad, White, Female, United-States, <=50K
 Private, Some-college, Black, Male, United-States, <=50K
