 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, ?, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Separated, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Black, Male, Germany, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, Italy, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, Canada, <=50K
 Private, 9th, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 ?, Assoc-voc, Never-married, ?, Black, Female, United-States, <=50K
