 Federal-gov, Never-married, White, Female, >50K
 Private, Never-married, White, Female, <=50K
 Self-emp-inc, Separated, White, Male, >50K
 State-gov, Never-married, White, Female, >50K
 State-gov, Never-married, Black, Female, <=50K
 Private, Never-married, White, Female, <=50K
 Federal-gov, Never-married, White, Female, >50K
 Private, Never-married, White, Female, >50K
 Self-emp-not-inc, Never-married, White, Male, >50K
 State-gov, Divorced, White, Female, >50K
 Private, Never-married, White, Male, >50K
 Federal-gov, Never-married, White, Female, >50K
 State-gov, Never-married, White, Male, <=50K
 Private, Never-married, White, Male, <=50K
 Local-gov, Never-married, White, Female, <=50K
 Private, Never-married, White, Male, >50K
 Private, Never-married, White, Male, >50K
 Self-emp-not-inc, Never-married, White, Female, <=50K
 Self-emp-inc, Never-married, White, Male, <=50K
 Self-emp-not-inc, Divorced, White, Female, >50K
 State-gov, Divorced, White, Male, >50K
 Private, Never-married, White, Male, <=50K
 Private, Never-married, White, Male, >50K
 Self-emp-not-inc, Never-married, White, Male, >50K
 Local-gov, Divorced, White, Female, <=50K
 Self-emp-inc, Separated, White, Male, <=50K
 Self-emp-not-inc, Never-married, White, Male, >50K
 Private, Divorced, White, Male, <=50K
 Private, Never-married, White, Male, <=50K
 Private, Never-married, White, Female, <=50K
 Self-emp-not-inc, Never-married, White, Male, >50K
 Federal-gov, Never-married, Amer-Indian-Eskimo, Female, >50K
 Private, Never-married, White, Male, <=50K
 Local-gov, Divorced, White, Female, >50K
 Private, Never-married, White, Female, >50K
 Federal-gov, Never-married, White, Female, <=50K
 Private, Never-married, White, Female, >50K
 State-gov, Never-married, White, Female, <=50K
 Private, Never-married, White, Male, <=50K
 Self-emp-not-inc, Married-spouse-absent, White, Male, >50K
 Private, Never-married, White, Male, >50K
 Local-gov, Divorced, White, Female, <=50K
 Private, Never-married, White, Male, <=50K
 State-gov, Never-married, White, Male, <=50K
 State-gov, Divorced, White, Female, >50K
 Private, Never-married, White, Male, >50K
 Private, Widowed, White, Male, >50K
 Self-emp-not-inc, Never-married, White, Female, >50K
 Private, Never-married, White, Male, <=50K
 Self-emp-not-inc, Never-married, White, Male, >50K
 Private, Divorced, White, Male, >50K
 Local-gov, Never-married, White, Female, >50K
 Private, Widowed, White, Female, <=50K
 Private, Never-married, White, Male, <=50K
 State-gov, Never-married, White, Female, <=50K
 Private, Divorced, White, Female, >50K
 State-gov, Never-married, White, Female, <=50K
 Local-gov, Divorced, White, Female, <=50K
 Self-emp-not-inc, Never-married, White, Female, <=50K
 Private, Divorced, White, Female, <=50K
