 Federal-gov, Never-married, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Female, <=50K
 Self-emp-inc, Separated, Prof-specialty, White, Male, >50K
 ?, Widowed, ?, White, Female, <=50K
 State-gov, Never-married, Prof-specialty, White, Female, >50K
 State-gov, Never-married, Prof-specialty, Black, Female, <=50K
 Private, Never-married, Prof-specialty, White, Female, <=50K
 Federal-gov, Never-married, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Female, >50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Male, >50K
 State-gov, Divorced, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Federal-gov, Never-married, Prof-specialty, White, Female, >50K
 Private, Divorced, Sales, White, Male, >50K
 State-gov, Never-married, Prof-specialty, White, Male, <=50K
 Private, Divorced, Craft-repair, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Local-gov, Never-married, Prof-specialty, White, Female, <=50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Private, Never-married, Exec-managerial, White, Male, >50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Female, <=50K
 Self-emp-inc, Never-married, Prof-specialty, White, Male, <=50K
 Self-emp-not-inc, Divorced, Prof-specialty, White, Female, >50K
 State-gov, Divorced, Prof-specialty, White, Male, >50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Male, >50K
 Self-emp-not-inc, Divorced, Sales, White, Male, <=50K
 Local-gov, Divorced, Prof-specialty, White, Female, <=50K
 Self-emp-inc, Separated, Prof-specialty, White, Male, <=50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Male, >50K
 Private, Divorced, Exec-managerial, White, Female, >50K
 Self-emp-inc, Divorced, Exec-managerial, White, Male, >50K
 State-gov, Never-married, Exec-managerial, White, Female, >50K
 Private, Divorced, Prof-specialty, White, Male, <=50K
 ?, Never-married, ?, White, Male, >50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Private, Never-married, Prof-specialty, White, Female, <=50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Male, >50K
 Federal-gov, Never-married, Prof-specialty, Amer-Indian-Eskimo, Female, >50K
 Federal-gov, Divorced, Exec-managerial, White, Female, >50K
 ?, Never-married, ?, White, Male, <=50K
 Self-emp-not-inc, Divorced, Exec-managerial, White, Female, <=50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Local-gov, Divorced, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Female, >50K
 Federal-gov, Never-married, Prof-specialty, White, Female, <=50K
 Private, Never-married, Prof-specialty, White, Female, >50K
 State-gov, Never-married, Prof-specialty, White, Female, <=50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Self-emp-not-inc, Married-spouse-absent, Prof-specialty, White, Male, >50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Local-gov, Divorced, Prof-specialty, White, Female, <=50K
 State-gov, Never-married, Exec-managerial, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 State-gov, Never-married, Prof-specialty, White, Male, <=50K
 State-gov, Divorced, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Male, >50K
 Private, Widowed, Prof-specialty, White, Male, >50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Female, >50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Male, >50K
 Private, Divorced, Prof-specialty, White, Male, >50K
 State-gov, Never-married, Exec-managerial, White, Female, >50K
 Local-gov, Never-married, Prof-specialty, White, Female, >50K
 State-gov, Never-married, Exec-managerial, White, Female, >50K
 Federal-gov, Widowed, Exec-managerial, White, Male, >50K
 Private, Widowed, Prof-specialty, White, Female, <=50K
 Private, Never-married, Prof-specialty, White, Male, <=50K
 State-gov, Never-married, Prof-specialty, White, Female, <=50K
 Private, Divorced, Prof-specialty, White, Female, >50K
 State-gov, Never-married, Prof-specialty, White, Female, <=50K
 Local-gov, Divorced, Prof-specialty, White, Female, <=50K
 Self-emp-not-inc, Never-married, Prof-specialty, White, Female, <=50K
 Private, Never-married, Machine-op-inspct, White, Female, >50K
 Local-gov, Divorced, Exec-managerial, White, Female, >50K
 Private, Divorced, Prof-specialty, White, Female, <=50K
