 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Separated, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, White, Male, Puerto-Rico, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Exec-managerial, White, Female, England, <=50K
 Private, HS-grad, Never-married, Transport-moving, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, Mexico, <=50K
 Self-emp-not-inc, Some-college, Separated, Sales, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Self-emp-inc, Masters, Divorced, Exec-managerial, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, Mexico, <=50K
 State-gov, Masters, Widowed, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Sales, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, Black, Female, United-States, <=50K
 Local-gov, 10th, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Sales, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Male, Haiti, <=50K
 ?, Assoc-voc, Divorced, ?, White, Female, United-States, <=50K
 Private, 11th, Widowed, Other-service, Other, Male, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Transport-moving, White, Female, United-States, <=50K
