 Private, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female, Cuba, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Married-AF-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Other, Female, United-States, <=50K
 Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Female, Honduras, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, ?, <=50K
 Private, Some-college, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, Prof-school, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, >50K
 ?, Masters, Married-civ-spouse, ?, Asian-Pac-Islander, Female, ?, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female, Laos, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, United-States, <=50K
 Local-gov, Some-college, Married-civ-spouse, Transport-moving, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States, >50K
 ?, Some-college, Married-civ-spouse, ?, White, Female, United-States, >50K
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Other-service, White, Female, United-States, >50K
 Local-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 ?, HS-grad, Married-civ-spouse, ?, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Black, Female, United-States, >50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 ?, Some-college, Married-civ-spouse, ?, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Sales, White, Female, Germany, <=50K
 Private, Assoc-voc, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, Italy, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Craft-repair, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female, India, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Female, South, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female, Mexico, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, Mexico, <=50K
 Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 State-gov, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Assoc-voc, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
 Private, 10th, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Married-civ-spouse, ?, White, Female, United-States, <=50K
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 State-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 State-gov, Masters, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, 9th, Married-civ-spouse, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Female, Peru, <=50K
 Self-emp-inc, 10th, Married-civ-spouse, Transport-moving, White, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Assoc-acdm, Married-civ-spouse, ?, Black, Female, Haiti, <=50K
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Female, Italy, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, <=50K
 State-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Black, Female, United-States, >50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, White, Female, United-States, <=50K
 Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, Italy, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 ?, Assoc-acdm, Married-AF-spouse, ?, White, Female, United-States, <=50K
 Private, 9th, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, United-States, >50K
 Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, United-States, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, Honduras, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Black, Female, Jamaica, >50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Black, Female, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Tech-support, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Other-service, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Sales, White, Female, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, Philippines, >50K
 Private, 11th, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Black, Female, Dominican-Republic, >50K
 Private, 12th, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
